category,label,price
F,Groceries at supermarket,45.80
T,Bus ticket,2.40
F,Coffee and pastry,4.50
E,Streaming subscription,9.99
F,Lunch at work cafeteria,8.70
T,Metro ticket,2.40
F,Dinner groceries,26.30
C,Basic t-shirt,15.99
F,Breakfast bakery,5.20
T,Taxi ride home,16.80
E,Cinema ticket,11.50
F,Lunch with colleagues,14.20
T,Fuel refill,38.60
F,Snacks and drinks,6.75
C,Jeans,49.90
F,Takeaway dinner,18.40
E,Concert ticket,27.00
F,Supermarket top-up,12.60
T,Train ticket,13.40
F,Sunday brunch,22.50
E,Museum entry,8.00
F,Ice cream,3.80